Collect    ,Sampling,Time ,TEMP,DO  ,pH   ,NO2+NO3,NH3_N ,TKN  ,Tot P,TDS,SS  ,VSS ,TOC ,CN   ,FEC_COL,Chlorophyll-A,Cl,F    ,SO4   ,ALK,As sol,Ba tot,Cu sol,Fe sol,Mn sol,Ni sol,Zn sol,Hg LL,Ca tot,Mg tot,Hardness,B tot,Location Description,Lat,Lon,geometry
2020-02-18 00:00:00,WW_99,1045.0,3.0,12.47,7,6.045,0.428,1.187,0.717,838,7,4,2.7,<0.005,110,35.3,370.009,0.383,52.824,181.9,<0.002,0.03166,0.00277,0.02455,0.01334,0.00358,0.01345,-----,67.91,25.81,276,0.09631,"South Fork, South Branch Chicago River @ Archer Ave.",41.83855,-87.66398333,POINT (-87.66398333 41.83855)
2020-02-18 00:00:00,WW_75,900.0,5.0,9.67,7.6,6.53,0.549,1.243,0.758,844,6,<4,2.7,<0.005,90,5.1,377.556,0.386,52.857,180.7,<0.002,0.03182,0.00296,0.02647,0.01769,0.00345,0.01402,1.747,66.32,25.03,269,0.10161,Chicago Sanitary & Ship Canal @ Cicero Ave.,41.819575,-87.74331389,POINT (-87.74331389 41.819575)
2020-02-18 00:00:00,WW_41,950.0,7.0,8.99,7.3,7.775,1.221,2.071,1.106,1050,5,<4,3.1,0.008,4200,3.3,457.272,0.548,78.275,172.8,0.00101,0.02798,0.0023,0.03171,0.01459,0.00466,0.01924,1.025,69.84,24.53,275,0.13705,Chicago Sanitary & Ship Canal @ Harlem Ave.,41.80121111,-87.80188889,POINT (-87.80188889 41.80121111)
2020-02-18 00:00:00,WW_92,1237.0,5.0,9.23,6.9,6.256,0.55,1.2,1.119,1310,8,<4,3,0.008,100,3.9,584.17,0.52,96.362,186.9,0.00177,0.021,0.00218,0.0334,0.02446,0.00384,0.01316,1.266,52.32,18.48,207,0.12196,Chicago Sanitary & Ship Canal @ Lockport Powerhouse Forebay,41.57058889,-88.07831944,POINT (-88.07831944 41.57058889)
2020-02-18 00:00:00,WW_48,1145.0,6.0,8.87,7.5,6.213,0.552,1.315,0.917,1200,6,<4,3,0.008,270,3.9,516.382,0.498,90.568,191,0.00138,0.03007,0.0018,0.03307,0.02189,0.00365,0.01101,1.34,76.68,27.4,304,0.19097,Chicago Sanitary & Ship Canal @ Stephen St.,41.67955,-87.99958889,POINT (-87.99958889 41.67955)
2020-02-24 00:00:00,WW_86,925.0,10.0,9.23,7.4,3.38,0.498,<1,0.275,420,10,<4,3.7,<0.005,2000,4.3,83.237,0.527,78.658,156.1,0.00114,0.02567,<0.002,0.02555,0.02431,<0.002,0.01319,7.194,58.3,18.97,224,0.11035,Grand Calumet River @ Burnham Ave.,41.63131944,-87.5391,POINT (-87.5391 41.63131944)
2020-02-24 00:00:00,WW_56,1202.0,5.0,11.64,7.8,2.583,0.376,<1,0.204,448,13,<4,3.7,<0.005,<10,4,108.553,0.444,73.526,158,0.00107,0.02794,<0.002,<0.02,0.02023,0.0012,0.01234,10.53,57.58,19.33,223,0.12285,Little Calumet River @ Indiana Ave.,41.65033056,-87.61712222,POINT (-87.61712222 41.65033056)
2020-02-24 00:00:00,WW_76,1145.0,7.0,9.18,7.4,6.183,<0.3,<1,1.062,620,7,<4,4.1,<0.005,1300,2.1,182.955,0.517,81.725,184,0.0016,0.02272,<0.002,0.03038,0.01518,0.00221,0.0143,3.814,74.0,25.76,291,0.18495,Little Calumet River @ Halsted St.,41.65751389,-87.64114722,POINT (-87.64114722 41.65751389)
2020-02-24 00:00:00,WW_57,1130.0,5.0,12.19,7.8,2.972,<0.3,<1,0.278,972,10,<4,3.7,<0.005,240,5.5,241.74,0.331,224.173,242.7,<0.002,0.03962,<0.002,0.02714,0.07719,0.00143,0.005,1.99,86.76,34.33,358,0.13602,Little Calumet River @ Ashland Ave.,41.65167778,-87.66059167,POINT (-87.66059167 41.65167778)
2020-02-24 00:00:00,WW_59,1100.0,6.0,9.68,7.3,4.333,<0.3,<1,1.051,700,12,<4,3.9,<0.005,2200,2.5,205.854,0.468,106.82,198.8,0.00139,0.02653,<0.002,0.02052,0.02829,0.00208,0.01438,3.468,76.05,27.48,303,0.15575,Cal-Sag Channel @ Cicero Ave.,41.65534167,-87.73824167,POINT (-87.73824167 41.65534167)
2020-02-24 00:00:00,WW_43,1010.0,5.0,9.88,7.1,3.859,<0.3,1.095,0.932,852,42,7,3.5,<0.005,100,3.1,291.337,0.424,98.076,195.5,0.00147,0.03454,<0.002,0.02299,0.03248,0.00202,0.01179,13.333,77.87,28.34,311,0.14173,Cal-Sag Channel @ Route # 83,41.69633889,-87.93630833,POINT (-87.93630833 41.69633889)
2020-02-24 00:00:00,WW_92,1155.0,6.0,8.67,7,5.84,<0.3,1.068,0.807,1006,8,<4,3.5,<0.005,40,4.6,403.13,0.476,97.669,179.1,0.00122,0.02796,<0.002,0.02258,0.02727,0.00315,0.01705,4.438,72.25,25.8,287,0.15864,Chicago Sanitary & Ship Canal @ Lockport Powerhouse Forebay,41.57058889,-88.07831944,POINT (-88.07831944 41.57058889)
2020-03-02 00:00:00,WW_109,915.0,6.0,11.05,8,7.849,<0.3,<1,1.017,1186,4,<4,4.2,<0.005,740,3.8,492.183,0.361,98.389,229.2,0.00104,0.03883,0.00363,0.04493,0.04316,0.00353,0.01632,1.099,95.02,38.44,396,0.13659,Salt Creek @ Brookfield Ave.,41.82281111,-87.84154444,POINT (-87.84154444 41.82281111)
2020-03-02 00:00:00,WW_109,915.0,6.0,11.05,8,7.849,<0.3,<1,1.017,1186,4,<4,4.2,<0.005,740,3.8,492.183,0.361,98.389,229.2,0.00104,0.03883,0.00363,0.04493,0.04316,0.00353,0.01632,1.099,95.02,38.44,396,0.13659,Salt Creek @ Brookfield Ave.,41.82283333,-87.84156667,POINT (-87.84156667 41.82283333)
2020-03-02 00:00:00,WW_22,950.0,5.0,13.14,8.1,4.833,<0.3,<1,0.248,892,5,<4,3.8,<0.005,120,4.5,317.039,0.286,68.95,246.6,0.00112,0.03921,0.00211,0.03926,0.03743,0.0023,0.01087,1.16,83.22,36.79,359,0.09689,Des Plaines River @ Ogden Ave.,41.82093333,-87.8109,POINT (-87.8109 41.82093333)
2020-03-02 00:00:00,WW_23,1035.0,6.0,12.63,8.1,4.439,<0.3,<1,0.189,922,7,<4,3.3,<0.005,20,2.9,338.675,0.28,75.23,244.6,0.00106,0.03685,0.00217,0.03043,0.03841,0.0023,0.00823,1.347,84.08,38.0,366,0.10105,Des Plaines River @ Willow Springs Rd.,41.73564167,-87.88147778,POINT (-87.88147778 41.73564167)
2020-03-02 00:00:00,WW_91,1145.0,6.0,14.28,7.9,4.378,<0.3,<1,0.157,940,5,<4,3.5,<0.005,<10,2.6,356.013,0.27,71.063,246,0.00105,0.03969,0.00192,0.02959,0.03108,0.00204,0.00686,1.772,85.37,38.0,370,0.11333,Des Plaines River @ Material Service Rd.,41.59656667,-88.06853333,POINT (-88.06853333 41.59656667)
2020-03-02 00:00:00,WW_92,1215.0,7.0,8.82,7.5,6.121,0.573,<1,1.006,1054,<4,<4,3.7,<0.005,40,3.6,390.157,0.515,112.626,181.1,0.00141,0.0278,0.00191,0.03212,0.02832,0.00352,0.01704,2.64,70.99,25.75,283,0.19172,Chicago Sanitary & Ship Canal @ Lockport Powerhouse Forebay,41.57058889,-88.07831944,POINT (-88.07831944 41.57058889)
